place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
LAPD 77th Street^Division of Los Angeles PD^,39,32,51,38,50,53,45,49,44,37,57,63,70.3,61.5,33.7
LAPD Central^Division of Los Angeles PD^,8,11,3,8,6,11,11,21,14,17,21,25,47.1,212.5,30.7
LAPD Devonshire^Division of Los Angeles PD^,3,5,7,4,2,3,7,4,1,9,1,7,-22.2,133.3,3
LAPD Foothill^Division of Los Angeles PD^,14,13,18,10,14,13,10,7,9,5,10,4,-20,-71.4,2
LAPD Harbor^Division of Los Angeles PD^,17,31,19,13,5,11,20,16,16,18,17,26,44.4,52.9,14.4
LAPD Hollenbeck^Division of Los Angeles PD^,21,19,19,17,16,12,14,17,13,23,30,39,69.6,85.7,23
LAPD Hollywood^Division of Los Angeles PD^,11,8,6,7,7,8,7,2,8,4,7,9,125,-18.2,6.9
LAPD Mission^Division of Los Angeles PD^,14,11,13,12,14,17,15,19,11,9,11,15,66.7,7.1,6
LAPD Newton^Division of Los Angeles PD^,39,36,16,14,16,26,21,26,24,24,35,31,29.2,-20.5,20.7
LAPD North Hollywood^Division of Los Angeles PD^,13,7,9,2,7,7,12,7,9,10,11,9,-10,-30.8,4.3
LAPD Northeast^Division of Los Angeles PD^,8,12,12,9,7,13,10,5,8,5,10,20,300,150,9.2
LAPD Olympic^Division of Los Angeles PD^,4,6,14,4,10,10,9,13,6,6,17,11,83.3,175,6
LAPD Pacific^Division of Los Angeles PD^,2,7,5,6,1,10,7,5,4,5,5,9,80,350,4.1
LAPD Rampart^Division of Los Angeles PD^,17,13,20,13,14,11,22,12,14,13,23,15,15.4,-11.8,9.4
LAPD Southeast^Division of Los Angeles PD^,46,46,43,47,41,34,26,31,32,33,45,54,63.6,17.4,35.9
LAPD Southwest^Division of Los Angeles PD^,16,22,17,26,25,22,33,20,25,14,19,24,71.4,50,12.4
LAPD Topanga^Division of Los Angeles PD^,7,2,5,3,2,3,9,1,3,3,6,8,166.7,14.3,3.9
LAPD Van Nuys^Division of Los Angeles PD^,6,5,5,4,7,8,7,8,5,7,9,8,14.3,33.3,4.3
LAPD West Los Angeles^Division of Los Angeles PD^,3,2,3,4,4,2,1,2,2,1,4,1,0,-66.7,0.4
LAPD West Valley^Division of Los Angeles PD^,3,5,4,4,4,5,5,10,6,13,9,8,-38.5,166.7,4
LAPD Wilshire^Division of Los Angeles PD^,5,5,9,6,8,4,5,7,6,2,8,16,700,220,10.4
Unincorporated Altadena^Area policed by LASD^,0,2,2,1,1,1,1,0,0,1,2,2,100,NA,4.5
