place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
San Bernardino,66,77,56,74,104,98,123,158,153,140,134,150,7.1,127.3,67.5
Riverside,78,57,76,78,143,137,141,166,150,139,152,167,20.1,114.1,53
Thousand Oaks,16,10,23,7,25,26,30,44,30,27,21,11,-59.3,-31.2,8.7
Orange,3,6,8,8,10,11,25,12,12,18,14,20,11.1,566.7,14.3
Anaheim,88,105,82,82,79,129,123,115,142,141,133,106,-24.8,20.5,30.6
Ventura,16,20,24,21,28,53,53,63,54,56,31,42,-25,162.5,37.9
Indian Wells,1,0,0,0,0,0,1,0,0,1,0,0,-100,-100,0
La Palma,0,2,1,0,1,0,1,0,0,1,0,4,300,NA,25.6
Yucca Valley,11,6,5,7,6,8,2,9,8,9,9,6,-33.3,-45.5,27.6
Corona,15,10,17,14,25,30,39,36,46,43,36,45,4.7,200,28.6
Villa Park,0,0,0,0,2,0,1,0,0,0,0,0,NA,NA,0
Irvine,24,11,8,12,28,27,41,46,40,52,36,47,-9.6,95.8,15.3
Upland,9,14,8,9,10,21,18,25,13,20,16,12,-40,33.3,15.2
Aliso Viejo,4,2,0,2,5,5,4,4,11,3,1,1,-66.7,-75,1.9
Yucaipa,10,7,5,7,3,8,11,12,12,14,17,14,0,40,25.7
Oxnard,19,26,8,10,45,21,69,65,66,62,81,81,30.6,326.3,40.1
Coachella,3,5,9,2,3,3,9,3,5,9,6,5,-44.4,66.7,11.9
Chino,13,9,9,7,8,21,13,10,25,35,31,37,5.7,184.6,40.5
Costa Mesa,34,30,32,46,45,53,60,61,75,52,64,67,28.8,97.1,59.9
Hemet,17,15,21,24,31,33,41,25,25,23,21,22,-4.3,29.4,24.5
Santa Ana,88,62,55,51,115,154,142,188,230,207,145,229,10.6,160.2,73.8
Banning,7,9,5,9,23,29,13,14,17,16,8,18,12.5,157.1,61
Ojai,0,2,0,4,2,0,3,2,1,5,1,2,-60,NA,26.3
Westminster,17,11,9,13,20,22,31,23,26,19,24,35,84.2,105.9,38.5
Perris,10,3,6,1,1,1,4,4,7,6,9,12,100,20,15.2
Colton,14,8,10,6,8,11,10,6,11,9,10,13,44.4,-7.1,24.1
Seal Beach,4,1,1,1,1,1,1,2,9,1,6,0,-100,-100,0
Mission Viejo,5,3,3,4,9,14,7,13,5,8,5,9,12.5,80,9.6
Highland,8,10,5,8,17,20,10,13,7,19,7,11,-42.1,37.5,19.3
Adelanto,9,18,18,15,18,14,28,28,25,20,12,11,-45,22.2,28.9
Fontana,37,39,31,33,39,46,69,62,63,83,74,58,-30.1,56.8,27.8
Hesperia,27,25,17,17,18,18,30,38,32,35,19,40,14.3,48.1,40.1
Redlands,25,18,15,15,9,34,37,36,64,40,51,35,-12.5,40,47.8
Twentynine Palms,15,10,11,9,7,8,8,2,16,10,8,22,120,46.7,78.3
Victorville,38,37,40,36,39,49,46,54,63,45,55,58,28.9,52.6,43
Big Bear,1,2,3,5,3,5,5,8,4,7,6,7,0,600,55.1
Cypress,2,8,2,4,3,3,6,5,14,7,7,8,14.3,300,15.9
