place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
San Bernardino,4928,4446,4991,4025,4405,4210,4228,3990,4594,4974,3149,3431,-31,-30.4,1544.8
Riverside,6434,6278,7095,6912,6794,7144,7355,6629,6911,6997,6456,6206,-11.3,-3.5,1970.2
Thousand Oaks,1606,1409,1470,1222,1148,1241,1302,1305,1127,1084,1027,1162,7.2,-27.6,915
Orange,1944,2001,2044,1673,1631,2016,1783,1754,1700,1546,1468,1484,-4,-23.7,1060.8
Anaheim,5869,5964,7025,6518,5620,6893,6764,6393,5921,5904,5897,5787,-2,-1.4,1668.7
Ventura,2654,2468,2825,3025,2994,3042,2838,2717,2667,2362,2354,2275,-3.7,-14.3,2053.2
Indian Wells,105,102,141,116,78,105,68,103,90,89,76,88,-1.1,-16.2,1833.3
La Palma,141,169,227,221,142,170,196,190,227,242,226,241,-0.4,70.9,1544.9
Yucca Valley,306,355,304,234,287,381,229,244,204,157,168,192,22.3,-37.3,884.8
Corona,2453,2298,2766,2305,2389,2646,2236,2177,2185,2251,2160,2046,-9.1,-16.6,1302.4
Villa Park,48,59,62,56,50,47,57,35,34,35,32,28,-20,-41.7,482.8
Irvine,2197,2649,2599,2553,2344,3144,2918,2814,2840,3086,3336,3615,17.1,64.5,1174.8
Upland,1509,1349,1329,1246,1226,1489,1285,1194,1297,1206,1118,993,-17.7,-34.2,1257
Aliso Viejo,324,349,300,224,211,276,323,299,348,351,285,270,-23.1,-16.7,517.2
Yucaipa,464,535,559,534,562,838,730,590,473,365,346,360,-1.4,-22.4,660.6
Oxnard,2760,2563,2677,3436,4475,4758,4309,3848,3568,2987,2907,2538,-15,-8,1255.8
Coachella,667,972,780,634,660,802,847,775,766,580,498,492,-15.2,-26.2,1174.2
Chino,1314,1341,1319,1249,1121,1501,1407,1405,1508,1649,1493,1661,0.7,26.4,1817.3
Costa Mesa,2454,2743,3050,2748,2583,3558,3296,3158,2975,2934,2699,2801,-4.5,14.1,2503.1
Hemet,1682,1911,1955,2294,1957,2306,2004,1868,1754,1547,1062,775,-49.9,-53.9,863
Santa Ana,4189,4222,4779,4163,3685,4494,3913,4108,3931,4611,4078,3946,-14.4,-5.8,1272.1
Banning,205,273,251,323,243,221,279,255,217,210,213,248,18.1,21,840.7
Ojai,128,136,133,80,94,49,44,33,50,56,81,69,23.2,-46.1,907.9
Westminster,1848,1815,2086,1720,1534,2123,1854,1987,1739,1824,1727,1875,2.8,1.5,2062.7
Perris,875,974,1118,1067,980,1025,1264,1104,1036,1248,1030,943,-24.4,7.8,1198.2
Colton,890,844,1027,1018,891,889,806,828,851,836,825,703,-15.9,-21,1304.3
Seal Beach,374,367,387,336,372,478,425,503,493,458,459,407,-11.1,8.8,1615.1
Mission Viejo,917,983,936,802,679,859,768,733,702,689,659,739,7.3,-19.4,788.7
Highland,738,641,689,527,564,534,532,609,636,511,363,378,-26,-48.8,663.2
Adelanto,273,363,380,372,257,254,218,290,336,209,138,126,-39.7,-53.8,331.6
Fontana,2130,2411,2389,2217,2191,2474,2550,2292,1773,1846,1256,1508,-18.3,-29.2,723.6
Hesperia,1025,1181,1185,1052,1107,1275,994,1230,1228,893,600,587,-34.3,-42.7,588.2
Redlands,1706,1766,1984,2047,1965,2264,2014,1910,1842,1534,1289,1282,-16.4,-24.9,1751.4
Twentynine Palms,337,239,224,159,118,241,167,139,136,134,106,103,-23.1,-69.4,366.5
Victorville,1964,2086,1981,2067,2023,2285,2002,1839,1386,1061,889,956,-9.9,-51.3,709.2
Big Bear,190,171,170,126,141,157,127,112,109,92,66,49,-46.7,-74.2,385.8
Cypress,584,647,771,689,547,646,525,495,478,424,515,616,45.3,5.5,1227.1
Laguna Beach,379,465,399,356,340,420,452,369,340,261,292,260,-0.4,-31.4,1130.4
Placentia,614,627,627,531,501,518,505,563,548,511,531,470,-8,-23.5,907.3
San Juan Capistrano,348,345,380,302,282,282,275,313,215,201,183,226,12.4,-35.1,642
Stanton,405,390,381,409,418,457,469,384,401,344,520,553,60.8,36.5,1455.3
Yorba Linda,621,640,532,482,506,463,514,482,561,433,425,356,-17.8,-42.7,521.2
Santa Paula,376,319,422,358,321,255,218,308,318,272,289,411,51.1,9.3,1338.8
Wildomar,365,411,392,287,323,353,391,430,456,375,273,323,-13.9,-11.5,875.3
Eastvale,NA,637,641,667,603,702,935,938,678,676,557,601,-11.1,NA,861
Beaumont,543,676,1061,1015,707,582,696,561,570,548,575,479,-12.6,-11.8,903.8
Blythe,332,403,491,435,537,529,413,492,440,434,337,186,-57.1,-44,1016.4
Calimesa,81,85,122,106,145,186,169,175,129,193,241,205,6.2,153.1,2050
Cathedral City,660,713,653,417,491,505,429,340,283,227,325,47,-79.3,-92.9,91.3
La Quinta,777,901,1033,1002,954,972,852,963,896,809,660,678,-16.2,-12.7,1803.2
Norco,420,390,344,367,409,505,482,472,442,434,381,418,-3.7,-0.5,1589.4
Palm Springs,1188,1266,1112,1342,1719,1790,1669,1277,1281,1210,1050,1416,17,19.2,3174.9
San Jacinto,670,766,863,1092,1121,1086,1044,1005,935,1018,868,673,-33.9,0.4,1248.6
Fullerton,2825,2548,2872,2873,2380,2958,2740,3273,2856,2479,2407,2533,2.2,-10.3,1763.9
Fillmore,206,164,148,106,75,80,69,83,94,89,118,150,68.5,-27.2,914.6
Needles,125,90,90,88,63,82,77,104,99,97,71,69,-28.9,-44.8,1408.2
Desert Hot Springs,630,693,432,475,423,311,221,189,179,216,135,11,-94.9,-98.3,33.8
Barstow,371,407,394,354,307,408,465,484,584,527,395,350,-33.6,-5.7,1378
Buena Park,1270,1230,1415,1435,1411,1831,1891,2115,1977,1567,1531,1711,9.2,34.7,2036.9
Huntington Beach,3621,3584,4352,3796,3295,3846,3466,3283,3158,3280,3007,3273,-0.2,-9.6,1647.2
Rancho Mirage,332,444,411,443,475,531,462,411,513,459,408,570,24.2,71.7,3352.9
Laguna Hills,404,475,502,390,316,396,381,301,277,288,289,320,11.1,-20.8,1019.1
Loma Linda,298,306,299,402,342,396,403,401,385,336,332,403,19.9,35.2,1625
Canyon Lake,146,160,129,109,91,59,70,65,56,47,58,55,17,-62.3,495.5
Menifee,745,901,1109,979,888,1201,1400,1373,1282,1273,1028,706,-44.5,-5.2,688.8
Laguna Woods,82,116,121,100,104,117,139,90,84,96,107,63,-34.4,-23.2,358
Jurupa Valley,NA,831,1779,1732,1469,1579,1597,1591,1548,1346,1353,1579,17.3,NA,1502.4
Chino Hills,657,624,541,615,685,761,595,936,747,606,557,665,9.7,1.2,848.2
Montclair,1208,1170,1092,962,969,1105,978,870,990,868,757,720,-17.1,-40.4,1899.7
Rialto,1338,1524,1798,1148,886,813,603,596,1850,2179,1710,1685,-22.7,25.9,1620.2
Garden Grove,2318,2242,2655,2221,1976,2899,2789,2851,2815,2778,2603,1699,-38.8,-26.7,988.4
San Clemente,526,631,603,582,485,534,547,574,697,700,655,547,-21.9,4,850.7
Tustin,1186,1167,1282,1147,1047,1344,1412,1484,1506,1694,1586,983,-42,-17.1,1224.2
Port Hueneme,229,244,307,251,193,281,264,287,280,305,305,264,-13.4,15.3,1200
Simi Valley,1687,1278,1394,1233,1176,1146,1127,1355,1118,889,1033,873,-1.8,-48.3,690.7
Ontario,3170,3057,3019,2586,2987,3206,2764,2842,2858,2652,2296,1932,-27.1,-39.1,1102.1
Moreno Valley,2595,2767,3456,3224,3742,4312,4042,4050,3854,3489,3230,2579,-26.1,-0.6,1236.3
Temecula,1642,1700,1640,1897,1668,2116,1940,2011,1964,2018,1537,1630,-19.2,-0.7,1481.8
Dana Point,438,489,444,429,374,417,400,399,395,311,383,270,-13.2,-38.4,815.7
Laguna Niguel,504,524,541,500,423,529,567,428,480,463,454,444,-4.1,-11.9,689.4
Brea,1200,1156,1052,939,897,1035,1169,1160,1068,1209,959,1002,-17.1,-16.5,2118.4
Rancho Santa Margarita,272,284,240,200,148,249,206,265,261,250,233,183,-26.8,-32.7,382
Apple Valley,1107,1052,977,775,866,1187,1064,986,917,660,502,497,-24.7,-55.1,655.7
Indio,1336,1453,1466,1335,1197,1187,1165,1483,1362,1218,739,846,-30.5,-36.7,949.5
Lake Elsinore,959,908,1141,858,1031,1352,1224,1507,1329,1409,1128,1145,-18.7,19.4,1628.7
Fountain Valley,951,941,1063,835,759,1120,1072,1199,1185,914,998,833,-8.9,-12.4,1461.4
Lake Forest,736,763,798,620,493,684,533,504,510,503,626,624,24.1,-15.2,726.4
La Habra,846,1026,789,856,815,928,955,869,800,789,788,645,-18.3,-23.8,1022.2
Newport Beach,1617,1702,1611,1600,1419,1652,1644,1630,1513,1344,1312,1124,-16.4,-30.5,1319.2
Rancho Cucamonga,2505,2381,2427,1972,1908,2569,2563,2998,2831,2560,2339,2319,-9.4,-7.4,1328.9
Camarillo,763,675,767,849,755,840,824,826,663,676,661,716,5.9,-6.2,1012.7
Murrieta,852,1031,1177,1149,1009,1173,1115,1143,952,1080,774,947,-12.3,11.2,853.9
Los Alamitos,179,195,253,213,118,121,129,105,78,73,125,178,143.8,-0.6,1508.5
Moorpark,301,261,228,315,226,233,213,257,188,183,186,134,-26.8,-55.5,369.1
Palm Desert,1150,1439,1477,1511,1524,1788,1586,1536,1530,1382,1105,1334,-3.5,16,2605.5
Grand Terrace,157,127,138,143,146,150,161,169,166,149,121,129,-13.4,-17.8,977.3
Riverside Co. Sheriff's Department,5776,4884,4354,4192,3705,4321,4630,4579,4578,4320,3969,3879,-10.2,-32.8,991.6
Orange Co. Sheriff's Department,910,935,954,877,789,879,765,751,747,642,682,644,0.3,-29.2,483.9
San Bernardino Co. Sheriff's Department,2574,2879,2919,2560,2311,2583,2513,2556,2329,1875,1421,1806,-3.7,-29.8,616.7
Ventura Co. Sheriff's Department,894,795,794,648,563,530,467,531,473,363,517,545,50.1,-39,580.8
LAPD 77th Street^Division of Los Angeles PD^,2380,2587,2790,2700,2564,2586,2909,2737,2877,2638,1964,1740,-34,-26.9,930
LAPD Central^Division of Los Angeles PD^,2208,2273,2727,2601,2793,3491,3737,4120,4822,5114,3348,4311,-15.7,95.2,5289.6
LAPD Devonshire^Division of Los Angeles PD^,3508,2968,2966,2859,2828,3364,3554,3595,3078,3001,2570,2561,-14.7,-27,1114
LAPD Foothill^Division of Los Angeles PD^,2187,1913,1901,1827,1672,1960,1953,2025,2025,1857,1582,1684,-9.3,-23,859.2
LAPD Harbor^Division of Los Angeles PD^,2306,2558,2416,2241,2151,2462,2267,2287,2143,2024,1954,1832,-9.5,-20.6,1013.3
LAPD Hollenbeck^Division of Los Angeles PD^,1496,1343,1539,1484,1472,1823,2111,1946,2013,1852,1563,1579,-14.7,5.5,930.5
LAPD Hollywood^Division of Los Angeles PD^,2960,3063,3167,2870,2764,3259,3443,3876,4040,3988,2914,3666,-8.1,23.9,2811.3
LAPD Mission^Division of Los Angeles PD^,2225,2436,2614,2789,2591,2703,2668,2550,2499,2229,1933,1876,-15.8,-15.7,752.2
LAPD Newton^Division of Los Angeles PD^,1898,1915,2049,2245,2085,2217,2394,2667,2575,2550,1836,1753,-31.3,-7.6,1173.4
LAPD North Hollywood^Division of Los Angeles PD^,3712,3416,3737,3970,3589,3946,4079,4089,4121,3753,3092,3487,-7.1,-6.1,1655.7
LAPD Northeast^Division of Los Angeles PD^,2965,2720,2812,2786,2934,3016,3290,3245,3262,3241,2554,2815,-13.1,-5.1,1293.7
LAPD Olympic^Division of Los Angeles PD^,1960,1743,2134,2085,2246,2764,3089,3306,3340,3160,2494,2712,-14.2,38.4,1476.3
LAPD Pacific^Division of Los Angeles PD^,4093,3536,3411,3515,3675,4255,4246,4360,4666,4763,3824,4433,-6.9,8.3,2038.2
LAPD Rampart^Division of Los Angeles PD^,1856,1715,2005,1898,2168,2320,2352,2500,2646,2626,2130,2260,-13.9,21.8,1416
LAPD Southeast^Division of Los Angeles PD^,1652,1605,1770,1724,1814,1989,1983,2102,2351,2273,1816,1566,-31.1,-5.2,1039.8
LAPD Southwest^Division of Los Angeles PD^,3335,3072,3446,3535,3474,3921,4068,4092,4440,4066,2502,2491,-38.7,-25.3,1291.3
LAPD Topanga^Division of Los Angeles PD^,3264,3095,3087,3173,2924,3211,3699,3607,3503,3488,2408,2595,-25.6,-20.5,1253
LAPD Van Nuys^Division of Los Angeles PD^,3100,2911,3044,3208,2964,3086,3382,3439,3431,3269,2648,2503,-23.4,-19.3,1332.1
LAPD West Los Angeles^Division of Los Angeles PD^,3063,3275,3220,3070,2926,3403,3438,3252,3551,3355,3307,3543,5.6,15.7,1461.6
LAPD West Valley^Division of Los Angeles PD^,2484,2457,2596,2339,2117,2416,2824,2645,2757,2431,2184,2135,-12.2,-14,1060.1
LAPD Wilshire^Division of Los Angeles PD^,2483,2572,2501,2590,2475,2790,2930,3314,3783,4073,2770,2977,-26.9,19.9,1943.2
Unincorporated Altadena^Area policed by LASD^,445,339,354,402,295,266,349,375,292,373,283,310,-16.9,-30.3,702.9
Avalon^Area policed by LASD^,38,29,41,57,55,40,34,35,27,28,37,30,7.1,-21.1,882.4
Unincorporated Avalon^Area policed by LASD^,5,4,4,3,1,9,2,7,4,0,1,2,NA,-60,NA
Carson^Area policed by LASD^,1421,1367,1564,1254,1270,1285,1466,1261,1181,1277,1262,1365,6.9,-3.9,1429.3
Unincorporated Carson^Area policed by LASD^,394,477,479,438,401,464,553,421,407,405,411,426,5.2,8.1,1626
Lynwood^Area policed by LASD^,443,496,504,653,597,485,704,688,656,723,740,677,-6.4,52.8,1004.5
Unincorporated Century^Area policed by LASD^,825,906,984,1031,973,1057,1167,1267,1062,1108,1010,875,-21,6.1,742.8
Cerritos^Area policed by LASD^,1168,1222,1254,1213,1056,1329,1582,1511,1259,1198,970,1235,3.1,5.7,2489.9
Compton^Area policed by LASD^,1224,1204,1008,1162,1370,1151,1370,1402,1349,1285,1189,795,-38.1,-35,830.7
Unincorporated Compton^Area policed by LASD^,223,213,209,236,283,192,205,218,241,211,214,145,-31.3,-35,638.8
La Canada Flintridge^Area policed by LASD^,240,243,182,196,177,172,196,162,231,198,170,190,-4,-20.8,922.3
Unincorporated Crescenta Valley^Area policed by LASD^,183,166,146,174,131,158,181,118,139,151,151,238,57.6,30.1,1091.7
Commerce^Area policed by LASD^,511,509,614,515,623,800,744,698,646,624,555,685,9.8,34.1,5393.7
Cudahy^Area policed by LASD^,105,196,219,174,208,179,127,93,88,111,130,113,1.8,7.6,497.8
Maywood^Area policed by LASD^,89,136,142,132,111,175,195,157,107,143,181,179,25.2,101.1,713.1
Unincorporated East Los Angeles^Area policed by LASD^,793,833,877,809,873,918,1061,956,891,823,888,872,6,10,736.5
Industry^Area policed by LASD^,852,789,786,707,725,714,784,629,681,899,517,665,-26,-21.9,NA
La Habra Heights^Area policed by LASD^,42,39,18,21,30,32,65,60,43,45,30,21,-53.3,-50,368.4
La Puente^Area policed by LASD^,306,295,254,219,221,266,261,190,258,248,183,248,0,-19,652.6
Unincorporated Industry^Area policed by LASD^,953,681,826,707,729,754,893,810,846,885,879,882,-0.3,-7.5,655.8
Artesia^Area policed by LASD^,141,186,167,177,161,259,350,236,180,161,165,194,20.5,37.6,1182.9
Bellflower^Area policed by LASD^,906,907,888,969,830,819,1051,1065,963,860,1033,822,-4.4,-9.3,1037.9
Hawaiian Gardens^Area policed by LASD^,131,120,102,107,90,191,170,161,143,101,92,134,32.7,2.3,950.4
Lakewood^Area policed by LASD^,1251,1300,1384,1363,1194,1519,1877,1725,1347,1354,1202,1045,-22.8,-16.5,1266.7
Paramount^Area policed by LASD^,770,888,811,866,797,956,1126,892,871,775,745,662,-14.6,-14,1237.4
Unincorporated Lakewood^Area policed by LASD^,5,12,12,13,8,10,14,14,12,14,21,9,-35.7,80,450
Lancaster^Area policed by LASD^,1943,1848,2065,2042,2068,1995,1820,1733,2074,1916,1307,1173,-38.8,-39.6,689.2
Unincorporated Lancaster^Area policed by LASD^,2,207,237,194,217,171,188,180,246,207,162,166,-19.8,8200,458.6
Lomita^Area policed by LASD^,196,207,266,232,224,278,227,241,201,161,209,218,35.4,11.2,1043.1
Rancho Palos Verdes^Area policed by LASD^,244,343,312,373,263,306,270,260,239,199,238,311,56.3,27.5,735.2
Rolling Hills^Area policed by LASD^,3,7,17,6,9,5,8,5,4,2,3,4,100,33.3,235.3
Rolling Hills Estates^Area policed by LASD^,101,115,90,82,84,56,90,103,67,82,86,59,-28,-41.6,719.5
Unincorporated Lomita^Area policed by LASD^,52,58,48,44,21,41,35,42,28,29,46,39,34.5,-25,975
Agoura Hills^Area policed by LASD^,173,168,160,186,156,220,150,187,186,223,167,225,0.9,30.1,1108.4
Calabasas^Area policed by LASD^,221,205,165,222,156,206,180,248,269,226,184,253,11.9,14.5,1090.5
Hidden Hills^Area policed by LASD^,8,11,4,1,8,6,8,7,9,7,6,3,-57.1,-62.5,176.5
Malibu^Area policed by LASD^,262,182,232,247,211,256,285,255,277,311,271,293,-5.8,11.8,2764.2
Westlake Village^Area policed by LASD^,92,125,106,104,117,143,162,155,156,140,99,85,-39.3,-7.6,1062.5
Unincorporated Malibu/Lost Hills^Area policed by LASD^,133,136,131,134,131,152,179,167,149,168,214,190,13.1,42.9,840.7
Unincorporated Marina Del Rey^Area policed by LASD^,133,494,507,575,595,533,603,592,644,569,567,677,19,409,2241.7
La Mirada^Area policed by LASD^,505,538,506,522,435,576,611,625,580,463,446,471,1.7,-6.7,981.2
Norwalk^Area policed by LASD^,1042,1157,1541,1267,1159,1091,1132,1123,1116,922,1132,838,-9.1,-19.6,815.2
Unincorporated Norwalk^Area policed by LASD^,417,477,436,396,388,416,466,539,539,394,460,485,23.1,16.3,726
Palmdale^Area policed by LASD^,1893,1914,2083,1938,2017,1736,1673,1611,1426,1384,1164,1304,-5.8,-31.1,770.2
Unincorporated Palmdale^Area policed by LASD^,268,291,365,244,240,245,227,227,236,251,198,222,-11.6,-17.2,504.5
Pico Rivera^Area policed by LASD^,989,1003,1063,926,763,807,839,853,614,581,657,664,14.3,-32.9,1069.2
Unincorporated Pico Rivera^Area policed by LASD^,307,269,327,261,257,322,334,317,199,242,228,264,9.1,-14,859.9
San Dimas^Area policed by LASD^,435,391,472,463,446,501,493,500,534,659,568,524,-20.5,20.5,1501.4
Unincorporated San Dimas^Area policed by LASD^,264,249,266,280,258,276,318,259,349,370,466,358,-3.2,35.6,750.5
Santa Clarita^Area policed by LASD^,1855,1774,1833,1777,1589,1983,1951,1997,1560,1448,1366,1486,2.6,-19.9,703.9
Unincorporated Santa Clarita Valley^Area policed by LASD^,650,622,617,567,612,709,565,624,582,505,405,445,-11.9,-31.5,575.7
Lawndale^Area policed by LASD^,223,196,166,172,192,284,276,214,185,228,244,334,46.5,49.8,1053.6
