AREA NAME,DR_NO,DATE OCC
77th Street,227,2010
77th Street,213,2011
77th Street,228,2012
77th Street,220,2013
77th Street,217,2014
77th Street,248,2015
77th Street,225,2016
77th Street,201,2017
77th Street,195,2018
77th Street,183,2019
Central,8,2010
Central,11,2011
Central,7,2012
Central,8,2013
Central,10,2014
Central,20,2015
Central,24,2016
Central,21,2017
Central,12,2018
Central,27,2019
Devonshire,10,2010
Devonshire,17,2011
Devonshire,15,2012
Devonshire,10,2013
Devonshire,6,2014
Devonshire,8,2015
Devonshire,7,2016
Devonshire,8,2017
Devonshire,5,2018
Devonshire,17,2019
Foothill,66,2010
Foothill,56,2011
Foothill,53,2012
Foothill,31,2013
Foothill,32,2014
Foothill,38,2015
Foothill,45,2016
Foothill,33,2017
Foothill,34,2018
Foothill,24,2019
Harbor,71,2010
Harbor,104,2011
Harbor,87,2012
Harbor,53,2013
Harbor,35,2014
Harbor,52,2015
Harbor,92,2016
Harbor,66,2017
Harbor,70,2018
Harbor,91,2019
Hollenbeck,119,2010
Hollenbeck,73,2011
Hollenbeck,83,2012
Hollenbeck,62,2013
Hollenbeck,69,2014
Hollenbeck,50,2015
Hollenbeck,97,2016
Hollenbeck,66,2017
Hollenbeck,76,2018
Hollenbeck,62,2019
Hollywood,28,2010
Hollywood,27,2011
Hollywood,13,2012
Hollywood,16,2013
Hollywood,10,2014
Hollywood,15,2015
Hollywood,23,2016
Hollywood,19,2017
Hollywood,15,2018
Hollywood,22,2019
Mission,71,2010
Mission,59,2011
Mission,45,2012
Mission,27,2013
Mission,29,2014
Mission,47,2015
Mission,51,2016
Mission,60,2017
Mission,46,2018
Mission,34,2019
Newton,152,2010
Newton,143,2011
Newton,110,2012
Newton,83,2013
Newton,87,2014
Newton,114,2015
Newton,84,2016
Newton,114,2017
Newton,88,2018
Newton,111,2019
N Hollywood,37,2010
N Hollywood,26,2011
N Hollywood,23,2012
N Hollywood,15,2013
N Hollywood,20,2014
N Hollywood,20,2015
N Hollywood,35,2016
N Hollywood,27,2017
N Hollywood,33,2018
N Hollywood,26,2019
Northeast,36,2010
Northeast,50,2011
Northeast,51,2012
Northeast,32,2013
Northeast,32,2014
Northeast,47,2015
Northeast,26,2016
Northeast,45,2017
Northeast,28,2018
Northeast,28,2019
Olympic,17,2010
Olympic,18,2011
Olympic,35,2012
Olympic,19,2013
Olympic,39,2014
Olympic,26,2015
Olympic,26,2016
Olympic,14,2017
Olympic,18,2018
Olympic,24,2019
Pacific,6,2010
Pacific,23,2011
Pacific,19,2012
Pacific,16,2013
Pacific,13,2014
Pacific,28,2015
Pacific,15,2016
Pacific,15,2017
Pacific,24,2018
Pacific,20,2019
Rampart,82,2010
Rampart,60,2011
Rampart,57,2012
Rampart,41,2013
Rampart,43,2014
Rampart,50,2015
Rampart,66,2016
Rampart,57,2017
Rampart,38,2018
Rampart,48,2019
Southeast,226,2010
Southeast,229,2011
Southeast,200,2012
Southeast,221,2013
Southeast,182,2014
Southeast,196,2015
Southeast,169,2016
Southeast,155,2017
Southeast,149,2018
Southeast,120,2019
Southwest,128,2010
Southwest,116,2011
Southwest,94,2012
Southwest,96,2013
Southwest,102,2014
Southwest,103,2015
Southwest,128,2016
Southwest,83,2017
Southwest,90,2018
Southwest,38,2019
Topanga,18,2010
Topanga,9,2011
Topanga,6,2012
Topanga,7,2013
Topanga,1,2014
Topanga,10,2015
Topanga,14,2016
Topanga,7,2017
Topanga,15,2018
Topanga,12,2019
Van Nuys,26,2010
Van Nuys,19,2011
Van Nuys,21,2012
Van Nuys,13,2013
Van Nuys,14,2014
Van Nuys,17,2015
Van Nuys,12,2016
Van Nuys,23,2017
Van Nuys,23,2018
Van Nuys,17,2019
West LA,2,2010
West LA,9,2011
West LA,4,2012
West LA,4,2013
West LA,6,2014
West LA,6,2015
West LA,8,2016
West LA,6,2017
West LA,5,2018
West LA,6,2019
West Valley,19,2010
West Valley,19,2011
West Valley,14,2012
West Valley,8,2013
West Valley,19,2014
West Valley,12,2015
West Valley,11,2016
West Valley,17,2017
West Valley,20,2018
West Valley,24,2019
Wilshire,18,2010
Wilshire,18,2011
Wilshire,21,2012
Wilshire,19,2013
Wilshire,21,2014
Wilshire,11,2015
Wilshire,19,2016
Wilshire,19,2017
Wilshire,24,2018
Wilshire,12,2019
